x,y,true_z,observed_z,std_z,true_dz_dx,true_dz_dy,true_d2z_dx2,true_d2z_dxdy,true_d2z_dy2
-2.0,0.05,-5.54541889532892,-5.543075857146242,0.007689224983929212,3.4365718037528374,-5.504574188888821,-1.171319715069616,3.4112597814991457,11.129894254019945
-1.9666666666666666,0.05,-5.431512547732474,-5.439406629450622,0.007590579193258391,3.3979498744763967,-5.391506816925605,-1.1459716697955036,3.3729223215104582,10.90127931481707
-1.9333333333333333,0.05,-5.318879488443517,-5.313256330540093,0.007493036102608194,3.360175318055295,-5.2797033548824,-1.1204773398883736,3.335425993064023,10.675219920016653
-1.9,0.05,-5.207491390457304,-5.200534436583051,0.007396571180072904,3.323253007339505,-5.169135684396624,-1.0948370369769536,3.298775633118903,10.451659216101712
-1.8666666666666667,0.05,-5.097319764643582,-5.111564584240336,0.0073011597533419875,3.2871877930058293,-5.059775526174319,-1.0690517934794983,3.26297605662431,10.23054002416239
-1.8333333333333333,0.05,-4.988335960901544,-4.997720478235404,0.007206777010700326,3.2519844781370892,-4.951594441136601,-1.0431234471342845,3.228032031286022,10.01180484221401
-1.8,0.05,-4.880511170210062,-4.879601790541495,0.0071133980028037615,3.2176477898983533,-4.84456383245479,-1.017054730619445,3.19394824945124,9.79539584931198
-1.7666666666666666,0.05,-4.773816427672745,-4.7760367661689385,0.007020997645316205,3.184182348143764,-4.73865494857304,-0.9908493660543358,3.1607292969466343,9.58125491166334
-1.7333333333333334,0.05,-4.6682226166628045,-4.668339041135927,0.006929550722499183,3.151592630796221,-4.633838887322676,-0.9645121640638986,3.128379618713025,9.3693235909457
-1.7,0.05,-4.5637004741777485,-4.569534468803573,0.006839031891849147,3.1198829358548616,-4.530086601237447,-0.938049126959947,3.096903481092696,9.159543155054342
-1.6666666666666667,0.05,-4.460220597518501,-4.4542851750293115,0.006749415689881759,3.0890573399025523,-4.427368904183452,-0.9114675554481169,3.066304930642499,8.951854591507486
-1.6333333333333333,0.05,-4.357753452411437,-4.352572831914773,0.006660676539165775,3.059119653007956,-4.325656479421352,-0.884776158105644,3.036587749368089,8.74619862374758
-1.6,0.05,-4.256269382694896,-4.255835376868368,0.00657278875671182,3.0300733699449065,-4.224919889221536,-0.8579851626929484,3.0077554063025906,8.542515730582538
-1.5666666666666667,0.05,-4.155738621693729,-4.148427643453861,0.006485726563823027,3.0019216176863415,-4.125129586154891,-0.8311064281612676,2.9798110053872655,8.340746169014949
-1.5333333333333332,0.05,-4.056131305406238,-4.053139496155243,0.006399464097515269,2.9746670991715636,-4.026255926182611,-0.8041535560000567,2.9527572296529545,8.140830000708831
-1.5,0.05,-3.9574174876270463,-3.9628430391193876,0.00631397542361394,2.9483120333946884,-3.928269183667683,-0.7771419993328903,2.926596281749803,7.94270712234189
-1.4666666666666668,0.05,-3.859567157126968,-3.85727012200182,0.00622923455163217,2.922858091919294,-3.831139568428216,-0.7500891679213829,2.9013298209295098,7.74631730008624
-1.4333333333333333,0.05,-3.7625502570063496,-3.7684427971811685,0.006145215451531297,2.898306331989943,-3.734837244948235,-0.7230145269763432,2.876958896649517,7.551600208451406
-1.4,0.05,-3.6663367063314505,-3.661011635413907,0.006061892072458532,2.8746571264857304,-3.6393323538547047,-0.6959396874082083,2.853483879042485,7.358495473709469
-1.3666666666666667,0.05,-3.5708964241538985,-3.5711949430762027,0.005979238363548418,2.851910091044415,-3.5445950357600617,-0.6688884848802652,2.830904386577186,7.1669427221031405
-1.3333333333333335,0.05,-3.476199356000789,-3.4772895315621133,0.005897228296863918,2.8300640087779687,-3.4505954575572084,-0.6418870447650425,2.809219211328565,6.976881633012537
